POINT_X;POINT_Y;CLASS
448833.6879;7247312.316;ASS
445345.936;7243665.094;ASS
445451.1208;7245500.451;ASS
443359.2759;7245096.376;ASS
443003.5723;7243221.135;ASS
443709.4672;7242396.719;ASS
443373.1127;7240732.131;ASS
447423.3089;7234545.807;ASS
440387.5292;7236784.345;ASS
440164.7921;7239520.486;ASS
443983.1369;7238043.901;ASS
461491.633;7229612.891;ASS
457560.6136;7229310.461;ASS
457152.7791;7233095.315;ASS
445337.5829;7247290.44;ASS
443949.7629;7246219.795;ASS
451392.9857;7232511.579;ASS
442522.255;7237088.444;ASS
442515.6439;7237092.846;ASS
441632.5931;7238153.916;ASS
433512.7318;7243564.153;ASS
433808.3656;7241375.87;ASS
441521.4903;7245184.417;ASS
440199.4585;7244966.417;ASS
440980.6317;7245933.61;ASS
431360.136;7246107.39;ASS
434348.3399;7241939.631;ASS
444179.7804;7249051.681;ASS
432622.0909;7246124.552;ASS
432878.5786;7245639.332;ASS
445664.7094;7248471.235;ASS
444407.8166;7246785.285;ASS
456695.8727;7228143.738;ASS
455796.8088;7230703.479;ASS
437116.3448;7301700.171;ASS
437268.9734;7301995.629;ASS
437292.4946;7302385.152;ASS
438234.6351;7302410.974;ASS
437116.9344;7304208.93;ASS
437870.5363;7303073.483;ASS
438382.8339;7302826.25;ASS
438440.8527;7302521.376;ASS
428174.0744;7304276.235;ASS
429780.0325;7303829.638;ASS
429452.2298;7303689.577;ASS
428983.408;7303626.635;ASS
421644.5367;7295618.177;ASS
420295.668;7294164.716;ASS
417231.7052;7290696.691;ASS
416561.7465;7291349.603;ASS
416884.084;7290021.067;ASS
418006.5053;7290703.721;ASS
421549.3018;7293650.963;ASS
420395.6158;7291666.904;ASS
419952.8253;7291966.129;ASS
420444.465;7292128.88;ASS
416313.7171;7290474.338;ASS
415521.2598;7289640.826;ASS
417130.8123;7289552.295;ASS
420792.9217;7292610.29;ASS
421125.2361;7293003.16;ASS
420599.2755;7293265.542;ASS
422161.109;7294629.75;ASS
422136.5602;7295232.374;ASS
422654.3197;7295233.645;ASS
423327.8504;7298722.333;ASS
422936.4045;7298026.963;ASS
422716.4023;7294548.619;ASS
423550.513;7297720.637;ASS
423113.7547;7297493.293;ASS
423262.6384;7298188.28;ASS
474305.0442;7176493.427;ASS
472741.6953;7180177.349;ASS
471487.0924;7179124.879;ASS
475688.8496;7176894.478;ASS
469643.9007;7175360.245;ASS
470955.7326;7174730.458;ASS
473268.6072;7177349.937;ASS
467186.3951;7161240.519;ASS
472075.9803;7181812.487;ASS
464422.8881;7169823.144;ASS
462547.3227;7170045.372;ASS
462310.3794;7172615.439;ASS
462419.0866;7174368.796;ASS
463283.593;7173793.791;ASS
459806.0121;7179788.882;ASS
458848.5073;7179826.205;ASS
465495.1627;7184800.397;ASS
464974.1568;7161807.846;ASS
465448.19;7162886.071;ASS
465766.3694;7163599.169;ASS
438381.0408;7164600.414;ASS
439143.7521;7164904.219;ASS
437315.7331;7165042.135;ASS
439971.2718;7163449.861;ASS
438217.3596;7166016.873;ASS
454109.3701;7172765.055;ASS
455083.6898;7171911.188;ASS
442420.8182;7167815.534;ASS
442834.8889;7168640.223;ASS
440868.6138;7168900.506;ASS
442874.1705;7170009.67;ASS
445311.3956;7171533.826;ASS
480854.5912;7163918.477;ASS
480272.1558;7165043.491;ASS
464605.4987;7163739.122;ASS
463043.6208;7165909.638;ASS
430599.0229;7169301.617;ASS
475120.8782;7173604.158;ASS
471893.9678;7174461.502;ASS
466082.444;7167654.099;ASS
467744.9048;7166212.53;ASS
463095.7737;7172323.798;ASS
469458.4982;7177841.482;ASS
468809.5205;7177230.289;ASS
468189.2849;7177985.861;ASS
467215.6039;7178357.069;ASS
462887.4994;7180179.889;ASS
462955.9274;7179171.946;ASS
462018.0407;7178946.718;ASS
463174.1523;7177807.938;ASS
433788.0205;7172042.807;ASS
432500.9777;7176122.451;ASS
433411.0425;7177081.941;ASS
432340.274;7177297.593;ASS
435631.6412;7170790.765;ASS
452777.4533;7152499.393;ASS
437973.4456;7174545.69;ASS
436797.3349;7174624.549;ASS
436890.6792;7175548.89;ASS
435079.2815;7168333.73;ASS
433788.0473;7167859.143;ASS
471085.566;7182054.541;ASS
457986.9982;7169192.349;ASS
459947.51;7170935.657;ASS
457046.7539;7169822.563;ASS
458032.2136;7170965.877;ASS
458040.0567;7170966.396;ASS
474372.2724;7175265.027;ASS
465227.6035;7160236.622;ASS
462018.4606;7163127.922;ASS
434935.4762;7169552.058;ASS
435723.0864;7169801.973;ASS
435728.5608;7169808.763;ASS
435517.1124;7172960.094;ASS
438732.5722;7167188.077;ASS
437855.3536;7166849.722;ASS
437096.5622;7167452.435;ASS
439850.8205;7170112.616;ASS
437616.5402;7168734.066;ASS
453840.8838;7162992.948;ASS
452965.7377;7164577.065;ASS
432419.4535;7166301.041;ASS
431963.9571;7168639.366;ASS
440813.7991;7171585.334;ASS
439868.9695;7172613.375;ASS
439129.1282;7173973.194;ASS
461189.8621;7176278.688;ASS
469489.4351;7166293.018;ASS
469544.1242;7165381.26;ASS
455844.9813;7174088.839;ASS
456271.692;7171930.122;ASS
451810.7595;7171675.628;ASS
453608.853;7171243.918;ASS
459906.6134;7169036.21;ASS
466345.2535;7180785.597;ASS
465122.8106;7180179.122;ASS
462313.6225;7177348.146;ASS
461197.1119;7182435.064;ASS
466909.255;7179209.696;ASS
466098.1903;7179323.578;ASS
443202.6575;7171066.327;ASS
441941.1541;7170891.923;ASS
439238.0457;7172916.144;ASS
439132.777;7162542.151;ASS
437325.4859;7163140.12;ASS
458484.0089;7162327.077;ASS
457986.8022;7163929.781;ASS
433588.0064;7170697.374;ASS
434133.9491;7170285.365;ASS
433903.4981;7169199.668;ASS
434049.108;7166547.789;ASS
432420.0965;7166299.797;ASS
451911.6741;7163389.455;ASS
442280.5962;7166244.212;ASS
444721.3849;7165698.841;ASS
466956.2222;7168975.558;ASS
440247.3457;7161644.779;ASS
446606.4368;7167060.272;ASS
456598.5136;7170818.574;ASS
456583.8588;7161361.335;ASS
454919.7449;7160505.19;ASS
427988.8284;7169759.587;ASS
438673.5377;7170934.374;ASS
435572.4123;7166636.335;ASS
436133.0889;7167404.69;ASS
467553.922;7170059.585;ASS
461188.1306;7176281.013;ASS
460281.3995;7177959.636;ASS
460117.8262;7178704.2;ASS
459386.8371;7169951.792;ASS
460813.3966;7170872.794;ASS
469004.3626;7163694.817;ASS
466358.9541;7164720.292;ASS
473496.9566;7180908.134;ASS
456220.7424;7175289.66;ASS
456204.552;7175287.347;ASS
454876.6358;7173315.218;ASS
459470.6956;7166975.604;ASS
448362.6628;7167828.303;ASS
450662.8257;7165306.195;ASS
443582.7559;7169116.917;ASS
449186.9547;7170185.592;ASS
448691.0938;7169261.943;ASS
465350.178;7184022.679;ASS
465493.7563;7184800.775;ASS
442627.2212;7164226.112;ASS
443377.616;7162302.355;ASS
443395.5606;7162304.161;ASS
336730.8532;7107603.881;ASS
336635.3597;7106392.201;ASS
337352.0648;7107801.227;ASS
338067.0941;7106076.34;ASS
338936.8718;7104169.159;ASS
353125.0472;7086112.378;ASS
354037.075;7086062.304;ASS
353257.1039;7087629.662;ASS
354410.2405;7087419.232;ASS
359839.2734;7083187.332;ASS
337115.3296;7104400.772;ASS
340503.8473;7100209.027;ASS
341166.5476;7103015.925;ASS
343753.1324;7096160.136;ASS
355852.703;7087095.294;ASS
355352.4972;7088200.303;ASS
356081.8263;7088742.23;ASS
358574.1788;7089040.656;ASS
347558.9996;7092465.494;ASS
349257.1791;7089434.653;ASS
351233.8223;7087342.797;ASS
352381.3817;7087447.669;ASS
357496.8042;7084993.85;ASS
356716.115;7086204.712;ASS
358932.7347;7087206.783;ASS
365815.5595;7073053.582;ASS
365611.4197;7074347.967;ASS
367097.098;7068889.848;ASS
342795.281;7097730.084;ASS
340908.1641;7104981.111;ASS
347024.1151;7093032.397;ASS
349114.9442;7091587.512;ASS
336866.1313;7105847.491;ASS
343466.2203;7102972.163;ASS
347393.9454;7096909.966;ASS
348650.0322;7092373.101;ASS
361737.326;7077477.424;ASS
340007.3363;7104544.975;ASS
350674.3682;7089325.112;ASS
349990.9048;7090314.137;ASS
348980.9218;7091121.577;ASS
359301.2969;7086979.277;ASS
354220.3057;7085846.715;ASS
354213.3879;7085839.041;ASS
346093.1409;7095304.909;ASS
344338.234;7096012.464;ASS
342238.6174;7098772.168;ASS
339185.7456;7106184.606;ASS
336621.8603;7107226.226;ASS
336910.9848;7105210.374;ASS
350337.4908;7088049.009;ASS
325343.4222;7110331.291;ASS
326157.7272;7110465.831;ASS
327093.025;7105891.515;ASS
328999.4334;7106889.431;ASS
329376.9351;7105964.009;ASS
327387.5246;7104059.601;ASS
324642.2967;7100911.827;ASS
323905.9499;7100341.15;ASS
324412.8457;7099119.352;ASS
324941.1085;7104221.84;ASS
323665.1876;7107900.757;ASS
323607.0802;7105401.209;ASS
323735.0789;7096921.469;ASS
324110.6902;7107174.302;ASS
323568.9875;7102627.355;ASS
312790.4571;7088557.851;ASS
314076.0405;7088471.039;ASS
320641.1064;7087318.696;ASS
321335.0476;7087890.102;ASS
315559.3001;7088009.126;ASS
316034.7562;7087186.902;ASS
316170.4899;7088577.798;ASS
316523.024;7086374.712;ASS
317269.1869;7085027.595;ASS
317759.6021;7083952.012;ASS
319262.2373;7082222.93;ASS
322024.6961;7081381.517;ASS
322991.5658;7080580.964;ASS
324526.5701;7078476.383;ASS
323953.5852;7077593.12;ASS
324110.7917;7076603.426;ASS
334563.9092;7076180.034;ASS
334880.9485;7076651.639;ASS
338031.857;7079270.067;ASS
340398.6845;7081556.826;ASS
349016.5361;7074683.401;ASS
346397.1352;7090687.804;ASS
344759.2301;7090893.688;ASS
343885.6165;7091177.533;ASS
345418.1589;7091752.369;ASS
344549.6396;7092367.868;ASS
343317.7803;7091780.066;ASS
346257.2295;7087170.338;ASS
344580.1524;7086740.141;ASS
348027.6529;7077291.028;ASS
347745.6991;7078682.894;ASS
346843.404;7082105.53;ASS
345638.7779;7082886.961;ASS
346366.9861;7083893.094;ASS
337819.7459;7080624.044;ASS
337631.9536;7081815.393;ASS
336364.7678;7078698.535;ASS
334433.5157;7078397.057;ASS
344555.8427;7085880.678;ASS
345836.8162;7088004.138;ASS
345646.8246;7089661.64;ASS
346145.165;7089316.774;ASS
346999.8969;7089204.068;ASS
334306.0651;7080219.088;ASS
332243.1796;7080969.875;ASS
330072.1832;7081099.866;ASS
320490.021;7086433.534;ASS
319974.0005;7085668.491;ASS
320152.9732;7084403.086;ASS
321261.8643;7084956.354;ASS
342216.0449;7091657.318;ASS
342049.362;7092724.886;ASS
342124.1581;7094169.24;ASS
339840.1375;7094276.601;ASS
338909.1476;7093929.69;ASS
348211.6976;7088937.656;ASS
347423.2576;7088543.393;ASS
348303.8391;7087704.191;ASS
344660.1591;7090008.903;ASS
347378.279;7090129.567;ASS
339222.0144;7095095.19;ASS
338709.811;7096056.49;ASS
340392.1597;7095615.395;ASS
342079.498;7096693.49;ASS
342668.964;7095260.368;ASS
319707.0452;7087479.562;ASS
320608.3421;7088392.008;ASS
320514.0931;7089630.061;ASS
326287.4446;7061098.068;ASS
333674.5125;7053793.939;ASS
321328.5016;7083601.343;ASS
322047.1681;7084370.197;ASS
322501.739;7082062.741;ASS
322529.7137;7085775.647;ASS
314344.9662;7078248.754;ASS
323831.7278;7086460.844;ASS
324949.5608;7085955.815;ASS
325908.2613;7085130.471;ASS
325961.7858;7083198.908;ASS
332857.0511;7062412.622;ASS
332862.0536;7059142.25;ASS
337594.8797;7055967.467;ASS
339460.7225;7035921.848;ASS
324987.9726;7082236.911;ASS
327530.8701;7084257.855;ASS
327019.4234;7082965.816;ASS
332212.4405;7079780.897;ASS
332538.4704;7078719.229;ASS
333738.8222;7076628.211;ASS
329969.5745;7081911.121;ASS
329137.2331;7082286.035;ASS
327733.8074;7102806.36;ASS
327141.5281;7107718.52;ASS
333950.0452;7106359.666;ASS
333481.3903;7106089.11;ASS
336070.0049;7104670.396;ASS
336335.5017;7096423.095;ASS
321704.5949;7090828.15;ASS
324522.2939;7087533.471;ASS
325372.3377;7088445.907;ASS
324800.6997;7089872.894;ASS
340794.2815;7057066.181;ASS
326196.5387;7108393.336;ASS
326401.363;7108043.395;ASS
327054.9299;7108866.795;ASS
335787.3517;7108081.155;ASS
329616.3329;7075813.908;ASS
330586.1822;7076526.369;ASS
330876.9465;7078718.097;ASS
338277.881;7090282.957;ASS
337880.2211;7092031.567;ASS
326715.1161;7101936.073;ASS
329513.8855;7100495.814;ASS
328826.1301;7084143.689;ASS
328494.1759;7083411.259;ASS
327369.9731;7085212.115;ASS
323133.0517;7086802.74;ASS
321452.5094;7087028.933;ASS
347418.5021;7064744.875;ASS
325649.9259;7091388.668;ASS
326841.2368;7090960.777;ASS
327516.5589;7088630.097;ASS
327658.9651;7090114.532;ASS
328944.3959;7089453.498;ASS
331255.209;7087927.079;ASS
342556.3149;7039439.093;ASS
338983.4342;7057947.121;ASS
320254.8605;7082219.573;ASS
322393.488;7077791.922;ASS
323345.4186;7079063.312;ASS
345564.7529;7068999.095;ASS
343211.5755;7071910.055;ASS
330663.6808;7080295.862;ASS
322088.5104;7088088.428;ASS
322844.7314;7087712.624;ASS
329776.8884;7099760.244;ASS
333275.1545;7102323.686;ASS
328432.2967;7087241.769;ASS
328802.6018;7088542.356;ASS
325866.1344;7087158.111;ASS
326562.7207;7087443.583;ASS
327743.6127;7086428.331;ASS
331373.0938;7085187.256;ASS
329529.1318;7084460.378;ASS
323035.8001;7091822.337;ASS
322829.6286;7093199.538;ASS
323413.3188;7093733.679;ASS
325233.0506;7093561.346;ASS
325998.6469;7094113.112;ASS
323993.0939;7094929.482;ASS
325899.7694;7096228.184;ASS
326445.2328;7095319.33;ASS
321508.3964;7086138.647;ASS
304962.0417;7079378.255;ASS
304408.4821;7080287.458;ASS
304591.495;7081504.178;ASS
308264.4755;7087754.168;ASS
307402.9817;7088574.498;ASS
306409.8953;7088448.947;ASS
307026.7019;7087547.681;ASS
305986.2395;7082076.823;ASS
305128.5189;7080652.825;ASS
307416.6099;7081593.491;ASS
307198.1791;7082038.716;ASS
306614.4403;7081371.61;ASS
306264.8466;7083200.558;ASS
308473.5127;7082724.435;ASS
306034.8968;7083988.992;ASS
306131.4637;7086323.096;ASS
311490.1459;7084611.145;ASS
311490.9116;7084611.39;ASS
311807.75;7083656.361;ASS
310782.5647;7083134.618;ASS
308106.5348;7092198.266;ASS
310006.991;7089455.289;ASS
310659.2467;7087999.688;ASS
310896.2635;7086654.058;ASS
311304.1934;7085531.208;ASS
307979.0907;7078623.225;ASS
327597.1847;7093493.291;ASS
328383.4951;7092363.887;ASS
327816.5957;7091401.646;ASS
330870.2781;7093422.88;ASS
331040.7296;7085836.436;ASS
332480.1437;7087055.136;ASS
338934.6444;7087464.662;ASS
340714.9525;7088657.644;ASS
340994.3437;7092229.829;ASS
335863.6867;7100595.445;ASS
336329.6872;7098949.04;ASS
338537.6546;7096938.972;ASS
338267.9458;7097500.99;ASS
337251.9376;7099331.595;ASS
330907.6276;7091246.032;ASS
331154.0546;7089391.39;ASS
332503.9467;7089397.119;ASS
333908.0554;7089198.554;ASS
334952.283;7088657.427;ASS
326459.7062;7098161.393;ASS
328546.3862;7097780.783;ASS
330028.5559;7095588.019;ASS
336006.9395;7082099.11;ASS
335299.9272;7082554.411;ASS
344322.1827;7089397.747;ASS
342864.6743;7087331.34;ASS
342801.2547;7085941.881;ASS
336963.6103;7100324.844;ASS
335450.7751;7103765.261;ASS
335290.0987;7105140.446;ASS
327069.0841;7099836.623;ASS
336136.6325;7086298.544;ASS
335327.2142;7085677.662;ASS
336651.1759;7085271.918;ASS
333412.8553;7084111.556;ASS
333147.4969;7082111.842;ASS
332591.1732;7084575.34;ASS
331348.6069;7083778.039;ASS
328498.8981;7085123.913;ASS
329071.876;7086300.67;ASS
327059.8683;7095404.483;ASS
327131.428;7096127.318;ASS
328119.3514;7096255.083;ASS
336339.3742;7090581.197;ASS
333986.6217;7091560.663;ASS
332912.9225;7090473.314;ASS
325890.5054;7096222.002;ASS
336023.2955;7092811.397;ASS
334561.4713;7093254.603;ASS
333256.0992;7094856.307;ASS
332358.1954;7093135.429;ASS
334879.0672;7094691.15;ASS
336755.2304;7093174.895;ASS
336813.5529;7094198.381;ASS
334372.4114;7096272.759;ASS
333024.7058;7096678.004;ASS
333762.6704;7097628.729;ASS
332720.4475;7098408.024;ASS
332233.3943;7099400.936;ASS
330876.8343;7099253.051;ASS
331660.8951;7100655.322;ASS
330543.2532;7101315.799;ASS
331146.1314;7102404.61;ASS
332853.207;7105199.634;ASS
333437.1181;7104440.645;ASS
334088.3122;7103545.357;ASS
334099.9043;7102652.466;ASS
335082.4292;7101801.538;ASS
321087.4282;7088748.832;ASS
321697.204;7090784.865;ASS
321311.6176;7091177.39;ASS
332703.4283;7077730.051;ASS
336351.7978;7109441.359;ASS
337034.5927;7110531.9;ASS
335857.8342;7112828.716;ASS
339751.8643;7112579.914;ASS
342633.3622;7110860.606;ASS
342462.0736;7111923.474;ASS
341130.8276;7112819.09;ASS
352339.0271;7096199.23;ASS
355777.7102;7096339.73;ASS
347857.1795;7103317.415;ASS
348713.6979;7102644.942;ASS
349996.0504;7103341.697;ASS
352194.176;7107063.617;ASS
353338.5672;7108660.868;ASS
353325.1861;7107506.943;ASS
340765.0147;7113755.476;ASS
343577.7045;7109012.586;ASS
345114.7694;7108460.627;ASS
343854.5274;7105523.187;ASS
344676.6207;7105736.643;ASS
352571.588;7102330.153;ASS
350010.8718;7101038.447;ASS
350838.9969;7099963.663;ASS
350803.9319;7098589.802;ASS
351400.408;7097130.923;ASS
351814.4457;7097980.864;ASS
356891.4634;7100218.292;ASS
356018.2947;7103530.631;ASS
355246.8943;7109398.133;ASS
351531.1623;7097580.535;ASS
349083.5218;7101959.833;ASS
351629.332;7106402.218;ASS
347324.7534;7106108.931;ASS
346698.7336;7107735.737;ASS
347562.7631;7105516.187;ASS
356897.8956;7102173.787;ASS
358380.6681;7101125.779;ASS
355071.6395;7105697.83;ASS
355596.707;7107547.601;ASS
348570.9411;7105874.236;ASS
350689.5071;7106001.984;ASS
353084.8711;7105217.553;ASS
373143.8177;7118172.134;ASS
374246.8988;7117390.297;ASS
377243.4267;7117948.729;ASS
377520.6055;7117558.392;ASS
377463.096;7107339.373;ASS
377507.0074;7106370.209;ASS
377177.3947;7106105.67;ASS
377214.4329;7116012.375;ASS
377251.3333;7113438.485;ASS
375495.3113;7107325.057;ASS
375835.3466;7107365.459;ASS
376338.4196;7107636.04;ASS
380878.7536;7087751.565;ASS
380406.3768;7087922.935;ASS
379635.9809;7088977.834;ASS
379787.0587;7088769.963;ASS
390999.4327;7099642.47;ASS
376943.4513;7114766.916;ASS
351393.5092;7128442.64;ASS
352160.8459;7127193.609;ASS
353570.5214;7126848.251;ASS
365612.8644;7091661.435;ASS
365761.4872;7092362.889;ASS
363394.2704;7090577.651;ASS
364344.2045;7090581.662;ASS
366591.2224;7091529.717;ASS
367765.1612;7091431.676;ASS
367079.2229;7092311.947;ASS
368351.1469;7092047.633;ASS
368961.2571;7093014.069;ASS
396853.0306;7089997.478;ASS
396460.8092;7090610.906;ASS
395421.524;7092109.237;ASS
385846.5098;7102375.315;ASS
388583.2424;7100794.015;ASS
392448.2796;7091714.122;ASS
384797.2728;7091055.011;ASS
381389.5396;7089412.273;ASS
377075.3318;7091457.882;ASS
