CLASS,geometry
ASS,POINT (26.10576068248409 65.33711534631342)
ASS,POINT (26.093248283373093 65.34860955172775)
ASS,POINT (26.096681032654317 65.36046028576868)
ASS,POINT (26.168875949698975 65.34474123094867)
ASS,POINT (25.860501283507386 65.39152506928907)
ASS,POINT (25.86970664969399 65.4048192677834)
ASS,POINT (25.90407973377771 65.41947979982766)
ASS,POINT (25.929375067514897 65.42388563045652)
ASS,POINT (25.957810483980584 65.42263741486066)
ASS,POINT (25.88022184943395 65.4421408850064)
ASS,POINT (25.754488767242325 65.34020756645761)
ASS,POINT (25.75455596773562 65.34019961396338)
ASS,POINT (25.857275700529765 65.43856167012075)
ASS,POINT (25.840422066548204 65.44494636615953)
ASS,POINT (25.867644634223158 65.4477235132955)
ASS,POINT (25.879706233124672 65.43265026818233)
ASS,POINT (25.87151863436629 65.41354363263194)
ASS,POINT (25.863383983707035 65.42171983785249)
ASS,POINT (25.898453115750627 65.45186054806068)
ASS,POINT (25.9151468164175 65.44048156891387)
ASS,POINT (26.006288067023448 65.45496386294849)
ASS,POINT (26.023210816083537 65.45316960102411)
ASS,POINT (25.961801235376942 65.48207632052238)
ASS,POINT (25.94953689895416 65.4978057012951)
ASS,POINT (25.924997817256582 65.50021528666547)
ASS,POINT (26.088782415954814 65.39476756470927)
ASS,POINT (26.065850084307016 65.47162900110806)
ASS,POINT (26.15971183426776 65.44340313341692)
ASS,POINT (26.15283518266305 65.4361920195491)
ASS,POINT (25.73983585078157 65.3734325309074)
ASS,POINT (25.73148240050608 65.3497618698878)
ASS,POINT (26.187991215636703 65.32890900456414)
ASS,POINT (26.256757766636234 65.33735484699004)
ASS,POINT (26.19214270002363 65.33869683771205)
ASS,POINT (26.193099782558555 65.34738951506682)
ASS,POINT (26.264357533622817 65.35580566411203)
ASS,POINT (26.320723983425907 65.34766333688358)
ASS,POINT (25.73503696576424 65.36180325335756)
ASS,POINT (26.07049428229122 65.43312735270922)
ASS,POINT (25.987672066450802 65.50442390453559)
ASS,POINT (26.00850106788231 65.49589359516773)
ASS,POINT (26.241459967652922 65.3881769688689)
ASS,POINT (26.150729165765114 65.46364358157663)
ASS,POINT (25.78128166559344 65.36642333361856)
ASS,POINT (25.75408666730522 65.39244166674294)
ASS,POINT (25.797035000794583 65.31168666852633)
ASS,POINT (25.956249999664145 65.32977666658262)
ASS,POINT (25.900744999848285 65.34465166781081)
ASS,POINT (25.827290000610997 65.31137000020689)
ASS,POINT (25.82881499947807 65.32785166608059)
ASS,POINT (25.784081667328344 65.32387167155927)
ASS,POINT (25.7772283337457 65.30698833609208)
ASS,POINT (25.792706666106376 65.29971500455227)
ASS,POINT (25.786181665910135 65.28472499972861)
ASS,POINT (25.8753416664032 65.22990333338328)
ASS,POINT (25.72391500040535 65.24878333435014)
ASS,POINT (25.71795833397104 65.27328666564408)
ASS,POINT (25.800349999275543 65.26071500296432)
ASS,POINT (26.177604852821133 65.18759586513347)
ASS,POINT (26.093757834026647 65.18439966615105)
ASS,POINT (26.083877333879272 65.2183023374919)
ASS,POINT (25.825662165765483 65.34388983012624)
ASS,POINT (25.796293999836283 65.33405083624844)
ASS,POINT (25.96095500010182 65.21226499970241)
ASS,POINT (25.769471667162076 65.251891668774)
ASS,POINT (25.769328333208886 65.25192999962655)
ASS,POINT (25.749978655875566 65.26129243952364)
ASS,POINT (25.573521666125963 65.30827666488256)
ASS,POINT (25.58091833441728 65.28870833134624)
ASS,POINT (25.744603258309372 65.3243383112813)
ASS,POINT (25.71632616713365 65.3221440004032)
ASS,POINT (25.732672500864652 65.3309616669232)
ASS,POINT (25.526080999061325 65.33064416937577)
ASS,POINT (25.592220832872485 65.29387366992081)
ASS,POINT (25.800075000610207 65.35949333099468)
ASS,POINT (25.553160165856887 65.33106033493726)
ASS,POINT (25.55890383428442 65.32676082922478)
ASS,POINT (25.83221833313004 65.35453666868663)
ASS,POINT (25.805898333636364 65.33920166752874)
ASS,POINT (26.075660000488018 65.17381999660667)
ASS,POINT (26.05565499980382 65.19666499806058)
ASS,POINT (25.623531665881252 65.83044333299641)
ASS,POINT (25.626729999419215 65.83312333522149)
ASS,POINT (25.627058334347808 65.8366216655679)
ASS,POINT (25.64766666655718 65.83703666532847)
ASS,POINT (25.62233999964865 65.85294499747741)
ASS,POINT (25.63938333301711 65.8429083338369)
ASS,POINT (25.65071500012903 65.84078999697647)
ASS,POINT (25.65212833296705 65.838066667051)
ASS,POINT (25.426465000034465 65.85166333373199)
ASS,POINT (25.461871665627193 65.8480150034859)
ASS,POINT (25.45476999979841 65.84668666428612)
ASS,POINT (25.444539999828272 65.84601833294941)
ASS,POINT (25.288659999052186 65.77248500243016)
ASS,POINT (25.260094999397367 65.75911833293198)
